Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2021-03-30,Lunch,590.0,17.0,1.5,2.8,3.5,0.0,30.0,1630.0,531.0,96.0,4.0,54.5,16.5,100.0,500.0,25.0,13.0,
2021-03-31,Breakfast,710.0,11.5,4.0,1.0,4.0,1.0,15.0,550.0,840.0,103.0,4.0,79.0,51.0,35.0,10.0,100.0,10.0,
2021-03-31,Dinner,382.0,3.7,0.5,0.0,1.0,0.0,50.0,125.0,530.0,58.6,9.3,3.5,34.1,0.0,4.0,8.0,22.0,
2021-03-31,Lunch,580.0,16.0,2.5,3.8,3.5,0.0,55.0,1800.0,472.0,79.0,8.0,10.5,32.5,0.0,0.0,9.0,25.0,
2021-03-31,Snacks,22.5,1.0,0.0,0.0,0.0,0.0,0.0,237.5,240.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-04-01,Breakfast,363.0,18.5,5.6,2.9,6.7,0.0,387.0,762.0,218.0,28.7,2.0,3.4,23.6,160.0,0.0,64.0,11.8,
2021-04-01,Dinner,613.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,
2021-04-01,Lunch,435.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,48.0,0.0,0.0,0.0,0.0,
2021-04-01,Snacks,160.0,7.0,4.0,0.0,0.0,0.0,40.0,790.0,0.0,4.0,0.0,3.0,22.0,0.0,0.0,200.0,6.0,
2021-04-02,Breakfast,666.0,30.0,0.0,0.0,0.0,0.0,0.0,70.0,1240.0,124.0,0.0,49.0,36.0,120.0,120.0,0.0,0.0,
2021-04-02,Dinner,380.0,20.0,9.0,0.0,0.0,0.5,55.0,1030.0,0.0,28.0,2.0,3.0,17.0,0.0,0.0,0.0,0.0,
2021-04-02,Snacks,175.0,8.0,4.0,0.0,0.0,0.0,40.0,1020.0,190.0,5.0,0.0,3.0,22.0,0.0,0.0,200.0,6.0,
2021-04-03,Breakfast,456.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,36.0,0.0,0.0,0.0,0.0,
2021-04-03,Dinner,567.0,10.0,1.5,0.0,0.0,0.0,15.0,280.0,970.0,47.5,5.0,0.0,73.0,60.0,30.0,25.0,4.0,
2021-04-03,Lunch,893.0,30.0,10.0,0.0,0.0,0.5,65.0,220.0,693.0,30.0,0.0,21.0,52.5,20.0,0.0,40.0,0.0,
2021-04-03,Snacks,230.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,57.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,
2021-04-06,Breakfast,436.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,48.0,0.0,0.0,0.0,0.0,
2021-04-07,Breakfast,589.6,5.8,0.1,0.1,0.0,0.0,0.0,1.2,422.4,103.0,3.1,14.4,34.3,3.5,10.3,5.9,0.3,
2021-04-07,Dinner,1081.0,34.0,4.0,0.0,0.0,0.0,30.0,500.0,1040.0,79.0,0.0,14.0,88.5,50.0,0.0,160.0,0.0,
2021-04-07,Lunch,706.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,0.0,0.0,52.5,0.0,0.0,0.0,0.0,
2021-04-08,Breakfast,714.6,8.9,2.0,0.0,0.0,0.0,15.0,250.0,520.0,84.0,0.0,7.0,75.0,25.0,0.0,80.0,0.0,
2021-04-08,Dinner,720.0,50.0,10.0,0.0,0.0,0.0,260.0,660.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,
2021-04-08,Lunch,280.0,11.0,5.0,0.0,0.0,0.0,25.0,560.0,0.0,32.0,2.0,3.0,14.0,8.0,6.0,20.0,10.0,
2021-04-09,Breakfast,230.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,58.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,
2021-04-10,Breakfast,484.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,
2021-04-12,Breakfast,624.6,12.9,5.0,0.0,0.0,0.3,32.5,110.0,346.5,87.0,0.0,10.5,40.5,10.0,0.0,20.0,0.0,
2021-04-12,Lunch,230.0,3.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,8.0,0.0,7.0,42.0,25.0,0.0,80.0,0.0,
2021-04-13,Breakfast,358.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
2021-04-13,Dinner,825.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,
2021-04-13,Lunch,597.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,
2021-04-14,Breakfast,740.0,25.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,59.0,0.0,7.0,69.0,25.0,0.0,80.0,0.0,
2021-04-14,Dinner,691.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,
2021-04-14,Lunch,597.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,
2021-04-14,Snacks,198.6,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,
2021-04-15,Breakfast,358.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
2021-04-15,Dinner,691.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,
2021-04-15,Lunch,597.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,
2021-04-15,Snacks,345.0,3.5,2.0,0.0,0.0,0.0,15.0,435.0,520.0,37.0,0.0,34.0,42.0,25.0,0.0,80.0,0.0,
2021-04-16,Breakfast,510.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,
2021-04-16,Dinner,483.2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,
2021-04-16,Lunch,691.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,
2021-04-17,Breakfast,358.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
2021-04-17,Snacks,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-04-19,Dinner,371.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,
2021-04-19,Lunch,507.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,
2021-04-19,Snacks,250.0,3.5,2.0,0.0,0.0,0.0,15.0,610.0,520.0,10.0,0.0,7.0,42.0,25.0,0.0,80.0,0.0,
2021-04-20,Breakfast,537.8,6.3,2.0,0.0,0.0,0.0,15.0,250.0,520.0,72.5,0.0,7.0,48.3,25.0,0.0,80.0,0.0,
2021-04-20,Lunch,507.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,
2021-04-21,Breakfast,308.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,0.0,6.3,0.0,0.0,0.0,0.0,
2021-04-21,Dinner,507.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,
2021-04-21,Lunch,371.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,
2021-04-21,Snacks,210.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,54.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,
2021-04-22,Breakfast,308.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,0.0,6.3,0.0,0.0,0.0,0.0,
2021-04-22,Lunch,1237.0,24.5,2.0,0.0,0.0,0.0,15.0,620.0,520.0,156.0,0.0,61.0,99.0,25.0,0.0,80.0,0.0,
2021-04-23,Breakfast,606.6,13.0,5.1,1.9,3.7,0.0,387.0,875.0,658.0,66.7,1.0,57.9,55.6,185.0,4.0,136.0,1.8,
2021-04-23,Lunch,777.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,
2021-04-27,Breakfast,598.0,31.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,13.0,0.0,7.0,66.0,25.0,0.0,80.0,0.0,
2021-04-27,Dinner,603.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,0.0,0.0,21.0,0.0,0.0,0.0,0.0,
2021-04-27,Lunch,400.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,
2021-04-27,Snacks,50.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,140.0,12.0,0.0,10.0,0.0,2.0,10.0,0.0,0.0,
2021-04-28,Breakfast,817.6,31.5,2.0,0.0,0.0,0.0,15.0,803.0,520.0,64.0,0.0,57.0,70.3,25.0,0.0,80.0,17.0,
2021-04-28,Lunch,400.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,
2021-04-29,Breakfast,1498.7,42.8,2.0,0.0,0.0,0.0,15.0,718.0,520.0,167.9,0.0,57.0,111.2,25.0,0.0,80.0,0.0,
2021-04-30,Breakfast,514.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,
2021-04-30,Lunch,556.5,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4,0.0,0.0,39.2,0.0,0.0,0.0,0.0,
2021-04-30,Snacks,140.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,
2021-05-01,Snacks,460.0,3.5,2.0,0.0,0.0,0.0,15.0,620.0,520.0,66.0,0.0,61.0,42.0,25.0,0.0,80.0,0.0,
2021-05-02,Breakfast,943.1,32.0,2.0,0.0,0.0,0.0,15.0,718.0,520.0,92.5,0.0,57.0,72.0,25.0,0.0,80.0,0.0,
2021-05-02,Dinner,526.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,
2021-05-03,Breakfast,410.2,3.0,0.0,0.0,0.0,0.0,0.0,60.0,140.0,90.0,0.0,10.0,5.3,2.0,10.0,0.0,0.0,
2021-05-03,Dinner,817.0,26.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,59.0,0.0,7.0,86.0,25.0,0.0,80.0,0.0,
2021-05-03,Lunch,555.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,
2021-05-03,Snacks,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-05-04,Breakfast,420.0,4.0,0.0,0.0,0.0,1.0,0.0,60.0,140.0,90.0,0.0,10.0,5.3,102.0,810.0,20.0,0.0,
2021-05-04,Dinner,817.0,26.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,59.0,0.0,7.0,86.0,25.0,0.0,80.0,0.0,
2021-05-04,Lunch,523.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,
2021-05-04,Snacks,380.0,3.5,2.0,0.0,0.0,0.0,15.0,410.0,910.0,44.0,0.0,38.0,42.0,29.0,30.0,80.0,0.0,
2021-05-05,Breakfast,438.6,4.5,2.0,0.0,0.0,1.0,15.0,718.0,520.0,58.0,0.0,57.0,42.0,125.0,800.0,100.0,0.0,
2021-05-05,Dinner,587.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,
2021-05-05,Lunch,523.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,
2021-05-05,Snacks,280.0,3.5,2.0,0.0,0.0,0.0,15.0,310.0,660.0,20.0,0.0,17.0,42.0,27.0,10.0,80.0,0.0,
2021-05-06,Breakfast,460.0,3.5,2.0,0.0,0.0,0.0,15.0,620.0,520.0,66.0,0.0,61.0,42.0,25.0,0.0,80.0,0.0,
2021-05-06,Dinner,503.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,
2021-05-06,Lunch,382.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,37.5,0.0,0.0,0.0,0.0,
2021-05-06,Snacks,275.0,3.5,2.0,0.0,0.0,0.0,15.0,315.0,660.0,19.0,0.0,17.0,42.0,25.0,10.0,80.0,0.0,
2021-05-07,Breakfast,230.0,3.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,8.0,0.0,7.0,42.0,25.0,0.0,80.0,0.0,
2021-05-07,Dinner,503.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,
2021-05-07,Lunch,417.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,
2021-05-10,Breakfast,342.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,
2021-05-11,Breakfast,602.0,19.0,0.0,0.0,0.0,0.0,0.0,435.0,140.0,93.0,0.0,64.0,15.0,0.0,10.0,0.0,0.0,
2021-05-11,Lunch,673.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,
2021-05-12,Breakfast,557.0,22.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,32.0,0.0,7.0,57.0,25.0,0.0,80.0,0.0,
2021-05-12,Lunch,903.0,13.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,152.0,0.0,54.0,45.0,0.0,0.0,0.0,0.0,
2021-05-13,Breakfast,327.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,
2021-05-13,Lunch,342.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,
2021-05-14,Breakfast,606.6,13.0,5.1,1.9,3.7,0.0,387.0,875.0,658.0,66.7,1.0,57.9,55.6,185.0,4.0,136.0,1.8,
2021-05-14,Dinner,122.4,6.4,2.4,0.0,0.0,0.0,37.5,48.2,67.9,1.8,0.6,0.7,12.7,91.0,50.0,8.6,8.1,
2021-05-16,Breakfast,810.0,17.0,9.0,0.0,2.5,0.0,115.0,510.0,990.0,98.0,5.0,19.0,68.0,30.0,25.0,65.0,40.0,
2021-05-17,Breakfast,428.6,3.5,2.0,0.0,0.0,0.0,15.0,718.0,520.0,58.0,0.0,57.0,42.0,25.0,0.0,80.0,0.0,
2021-05-17,Dinner,522.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,46.5,0.0,0.0,0.0,0.0,
2021-05-17,Lunch,678.5,8.0,2.0,0.0,0.0,0.0,15.0,250.0,520.0,71.0,0.0,7.0,81.0,25.0,0.0,80.0,0.0,
2021-05-18,Breakfast,484.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,
2021-05-18,Dinner,308.1,15.8,4.8,0.4,1.8,0.0,76.8,301.3,196.4,18.6,2.0,3.4,23.4,25.8,1.9,2.3,3.4,
2021-05-18,Lunch,821.5,24.3,1.0,0.0,0.0,0.0,7.5,125.0,260.0,77.5,0.0,3.5,73.5,12.5,0.0,40.0,0.0,
2021-05-19,Breakfast,313.6,1.8,1.0,0.0,0.0,0.0,7.5,593.0,260.0,54.0,0.0,53.5,21.0,12.5,0.0,40.0,0.0,
2021-05-19,Lunch,766.5,22.5,0.0,0.0,0.0,0.0,0.0,920.0,700.0,86.5,2.0,10.0,55.5,30.0,110.0,4.0,4.0,
2021-05-19,Snacks,460.0,7.0,4.0,0.0,0.0,0.0,30.0,500.0,1040.0,16.0,0.0,14.0,84.0,50.0,0.0,160.0,0.0,
2021-05-20,Lunch,936.5,26.0,2.0,0.0,0.0,0.0,15.0,250.0,520.0,81.5,0.0,7.0,94.5,25.0,0.0,80.0,0.0,
2021-05-20,Snacks,170.0,4.5,2.5,0.0,0.0,0.0,20.0,260.0,860.0,8.0,1.0,5.0,26.0,25.0,0.0,50.0,0.0,
2021-05-21,Breakfast,510.0,18.8,8.1,0.0,0.0,0.0,45.0,882.5,540.0,32.0,0.1,10.8,51.5,29.5,0.0,96.3,6.3,
2021-05-21,Lunch,200.0,12.0,3.0,0.0,0.0,0.0,20.0,890.0,0.0,17.0,2.0,1.0,7.0,10.0,6.0,4.0,0.0,
2021-05-22,Breakfast,837.5,22.5,8.9,0.1,2.5,0.0,95.0,446.2,1252.4,105.2,6.9,32.5,58.0,26.0,29.1,60.9,30.3,
2021-05-25,Breakfast,510.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,
2021-05-25,Lunch,597.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,
2021-05-25,Snacks,5.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,17.0,
2021-05-27,Lunch,691.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,
2021-05-29,Lunch,470.0,29.0,5.0,0.0,0.0,0.0,50.0,890.0,0.0,34.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,
2021-06-03,Breakfast,289.6,10.0,3.2,2.0,3.8,0.0,372.0,159.5,634.0,34.5,1.5,21.7,15.3,184.8,128.0,83.3,2.3,
2021-06-11,Breakfast,359.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,
2021-06-12,Dinner,229.4,2.7,0.7,0.0,0.0,0.0,46.6,49.4,174.4,27.7,1.3,0.9,26.4,0.0,1.6,3.8,8.4,
